neighbourhood,date,forecast,lower_95,upper_95
Kensington-Cedar Cottage,2026-05-01,148.80900082354572,109.71860604767956,187.8993955994119
Kensington-Cedar Cottage,2026-06-01,145.60977991147035,106.5193851356042,184.70017468733653
Kerrisdale,2026-01-01,25.505566366157375,9.176059524037829,41.835073208276924
Kerrisdale,2026-02-01,22.4053367802017,6.075829938082155,38.73484362232125
Kerrisdale,2026-03-01,30.305640289599246,13.9761334474797,46.635147131718796
Kerrisdale,2026-04-01,25.20531994731283,8.875813105193284,41.53482678943237
Kerrisdale,2026-05-01,26.40555877877545,10.076051936655904,42.735065620895
Kerrisdale,2026-06-01,28.30545910080942,11.975952258689873,44.634965942928964
Killarney,2026-01-01,42.97607732433939,24.656340109937574,61.29581453874121
Killarney,2026-02-01,36.476521685804265,18.156784471402446,54.796258900206084
Killarney,2026-03-01,35.97856092767056,17.65882371326874,54.298298142072376
Killarney,2026-04-01,37.17960947618357,18.859872261781753,55.49934669058539
Killarney,2026-05-01,41.478935679570654,23.159198465168835,59.79867289397247
Killarney,2026-06-01,38.673718648028384,20.353981433626565,56.9934558624302
Kitsilano,2026-01-01,81.19111848623218,38.547406980647885,123.83482999181649
Kitsilano,2026-02-01,66.19085481339613,23.54714330781183,108.83456631898042
Kitsilano,2026-03-01,80.09067141182798,37.446959906243684,122.73438291741229
Kitsilano,2026-04-01,93.19082975258098,50.54711824699668,135.83454125816527
Kitsilano,2026-05-01,92.69081025099966,50.04709874541536,135.33452175658397
Kitsilano,2026-06-01,97.19096624003738,54.547254734453084,139.8346777456217
Marpole,2026-01-01,75.30641083075616,49.82120069423432,100.791620967278
Marpole,2026-02-01,61.20661162624054,35.7214014897187,86.69182176276237
Marpole,2026-03-01,72.90809222847568,47.42288209195384,98.39330236499752
Marpole,2026-04-01,60.207773984886586,34.72256384836474,85.69298412140843
Marpole,2026-05-01,62.107324608012,36.622114471490164,87.59253474453384
Marpole,2026-06-01,61.208532149119186,35.72332201259735,86.69374228564102
Mount Pleasant,2026-01-01,194.45789084145136,145.01979983596343,243.8959818469393
Mount Pleasant,2026-02-01,164.25760148109987,114.81951047561193,213.6956924865878
Mount Pleasant,2026-03-01,191.85910584823054,142.4210148427426,241.29719685371848
Mount Pleasant,2026-04-01,190.3605273889596,140.92243638347168,239.79861839444754
Mount Pleasant,2026-05-01,202.46557626031836,153.02748525483042,251.9036672658063
Mount Pleasant,2026-06-01,203.36519436957138,153.92710336408345,252.80328537505932
Musqueam,2026-01-01,3.5712483812529006,0.0436796720140995,7.098817090491702
Musqueam,2026-02-01,2.971132434031114,0.0,6.4987011432699155
Musqueam,2026-03-01,1.4716935122676975,0.0,4.999262221506498
Musqueam,2026-04-01,1.7722223393386076,0.0,5.299791048577409
Musqueam,2026-05-01,3.671942677255651,0.1443739680168501,7.199511386494452
Musqueam,2026-06-01,4.172988657213935,0.6454199479751339,7.7005573664527365
Oakridge,2026-01-01,28.697859101404795,10.674193117463687,46.7215250853459
Oakridge,2026-02-01,23.59857959256274,5.574913608621632,41.62224557650384
Oakridge,2026-03-01,28.89503758206401,10.871371598122902,46.91870356600512
