TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2026,2,4,19,22,5X PACIFIC BLVD,Central Business District,492424.4599,5458256.3457
Break and Enter Commercial,2026,1,18,9,0,81XX FRASER ST,Sunset,493367.0448,5450934.5631
Break and Enter Commercial,2026,2,8,9,47,81XX FRASER ST,Sunset,493367.0448,5450934.5631
Break and Enter Commercial,2026,1,18,8,40,83XX FRENCH ST,Marpole,489861.4473,5450892.5841
Break and Enter Commercial,2026,1,14,16,40,84XX JELLICOE ST,Killarney,496530.3063,5450490.0434
Break and Enter Commercial,2026,1,28,6,45,85XX JACK UPPAL ST,Killarney,497558.0064,5450368.8433
Break and Enter Commercial,2026,1,13,21,16,3XX POWELL ST,Strathcona,493023.0904,5458929.8124
Break and Enter Commercial,2026,1,16,1,0,5XX W KING EDWARD AVE,South Cambie,491543.6364,5455154.9745
Break and Enter Commercial,2026,1,16,12,0,60XX FRASER ST,Sunset,493406.787,5452961.21
Break and Enter Commercial,2026,1,29,22,30,65XX KNIGHT ST,Victoria-Fraserview,494374.1602,5452492.8292
Break and Enter Commercial,2026,1,26,7,0,6X W CORDOVA ST,Central Business District,492293.7194,5458890.667
Break and Enter Commercial,2026,1,10,6,51,6XX DUNSMUIR ST,Central Business District,491547.5422,5458974.6376
Break and Enter Commercial,2026,1,18,5,4,6XX DUNSMUIR ST,Central Business District,491547.5422,5458974.6376
Break and Enter Commercial,2026,1,31,11,14,6XX E 44TH AVE,Sunset,493384.5305,5453043.7416
Break and Enter Commercial,2026,2,6,1,6,91XX STANLEY PARK DR,Stanley Park,489281.6264,5459831.3401
Break and Enter Commercial,2026,1,29,6,25,9XX POWELL ST,Strathcona,493951.5208,5458870.2809
Break and Enter Commercial,2026,1,19,21,15,9XX RICHARDS ST,Central Business District,491206.5251,5458385.5403
Break and Enter Commercial,2026,2,5,2,53,9XX THURLOW ST,West End,490691.8649,5458865.6025
Break and Enter Commercial,2026,1,4,17,7,9XX W BROADWAY AVE,Fairview,490888.0922,5456747.8303
Break and Enter Residential/Other,2026,1,25,3,0,13XX E 23RD AVE,Kensington-Cedar Cottage,494371.7846,5455236.428
Break and Enter Commercial,2026,1,1,5,10,49XX JOYCE ST,Renfrew-Collingwood,497754.2748,5454065.3808
Break and Enter Commercial,2026,1,28,0,32,49XX JOYCE ST,Renfrew-Collingwood,497754.2748,5454065.3808
Break and Enter Commercial,2026,1,29,9,51,4XX COLUMBIA ST,Central Business District,492557.7203,5458719.5734
Break and Enter Commercial,2026,1,11,3,11,77XX YUKON ST,Marpole,491585.1762,5451279.5193
Break and Enter Commercial,2026,1,15,13,1,78XX COLUMBIA ST,Marpole,491785.2691,5451234.2898
Break and Enter Commercial,2026,1,13,8,0,7X E HASTINGS ST,Central Business District,492516.3895,5458749.6704
Break and Enter Commercial,2026,2,12,3,26,9XX W HASTINGS ST,Central Business District,491566.9312,5459340.1101
Break and Enter Residential/Other,2026,2,13,0,16,10XX E 37TH AVE,Kensington-Cedar Cottage,493973.5787,5453740.7165
Break and Enter Residential/Other,2026,1,30,18,0,1XX E 64TH AVE,Sunset,492462.7753,5451072.0068
Break and Enter Residential/Other,2026,1,18,5,32,1XX E HASTINGS ST,Central Business District,492636.1816,5458736.5923
Break and Enter Residential/Other,2026,1,16,1,8,1XX KEEFER PL,Central Business District,492117.1624,5458563.9812
Break and Enter Residential/Other,2026,1,16,1,9,1XX KEEFER PL,Central Business District,492117.1624,5458563.9812
Break and Enter Residential/Other,2026,2,11,4,12,1XX ROBSON ST,Central Business District,491671.5308,5458352.1176
