TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2026,2,10,9,37,23XX W 4TH AVE,Kitsilano,488530.008,5457277.3822
Other Theft,2026,1,4,12,35,23XX W BROADWAY AVE,Kitsilano,488475.8049,5456801.8982
Other Theft,2026,1,18,20,15,24XX E 24TH AVE,Renfrew-Collingwood,495969.8491,5455112.8966
Other Theft,2026,2,8,4,26,24XX E 40TH AVE,Renfrew-Collingwood,495911.9143,5453459.8173
Other Theft,2026,2,2,14,0,24XX E 45TH AVE,Victoria-Fraserview,495901.7055,5452952.6552
Other Theft,2026,1,12,15,8,24XX E HASTINGS ST,Hastings-Sunrise,496004.0732,5458709.4168
Other Theft,2026,1,17,10,40,24XX TURNER ST,Hastings-Sunrise,495904.7283,5458480.5234
Other Theft,2026,1,27,17,31,24XX W 3RD AVE,Kitsilano,488338.5854,5457382.4997
Other Theft,2026,1,29,10,52,25XX FRANKLIN ST,Hastings-Sunrise,496036.1063,5458809.5741
Other Theft,2026,1,7,16,27,25XX GRANVILLE ST,Fairview,489914.2992,5456760.4112
Other Theft,2026,2,6,15,16,25XX GRANVILLE ST,Fairview,489914.2992,5456760.4112
Other Theft,2026,1,23,1,0,26XX COMMERCIAL DR,Kensington-Cedar Cottage,494915.7505,5456515.6033
Other Theft,2026,1,4,9,30,26XX CRANBERRY DR,Kitsilano,488808.5256,5456631.1903
Other Theft,2026,1,20,13,5,26XX CRANBERRY DR,Kitsilano,488808.6361,5456631.0063
Other Theft,2026,1,2,11,56,26XX E 24TH AVE,Renfrew-Collingwood,496358.6755,5455111.5855
Other Theft,2026,2,11,16,19,26XX E BROADWAY AVE,Renfrew-Collingwood,496210.8434,5456579.1999
Other Theft,2026,1,30,20,15,26XX E HASTINGS ST,Hastings-Sunrise,496258.7779,5458717.8559
Other Theft,2026,1,14,16,53,26XX LAKEWOOD DR,Kensington-Cedar Cottage,495489.6615,5456483.1586
Other Theft,2026,1,5,14,10,26XX MAIN ST,Mount Pleasant,492656.0914,5456583.6183
Other Theft,2026,1,12,7,27,26XX MAIN ST,Mount Pleasant,492656.1643,5456585.2152
Other Theft,2026,2,4,9,20,26XX MAPLE ST,Kitsilano,489048.0279,5456632.0841
Other Theft,2026,2,4,9,47,26XX MAPLE ST,Kitsilano,489048.0279,5456632.0841
Other Theft,2026,1,14,18,25,26XX PARKER ST,Hastings-Sunrise,496348.0097,5458112.8769
Other Theft,2026,1,4,17,41,22XX W BROADWAY AVE,Kitsilano,488645.5773,5456797.1959
Other Theft,2026,1,12,21,20,22XX W BROADWAY AVE,Kitsilano,488645.5773,5456797.1959
Other Theft,2026,1,26,15,58,22XX W BROADWAY AVE,Kitsilano,488645.5773,5456797.1959
Other Theft,2026,2,1,20,3,22XX W BROADWAY AVE,Kitsilano,488646.899,5456797.1597
Other Theft,2026,2,6,16,36,22XX W BROADWAY AVE,Kitsilano,488646.899,5456797.1597
Other Theft,2026,2,8,20,15,22XX W BROADWAY AVE,Kitsilano,488646.899,5456797.1597
Other Theft,2026,2,11,16,46,22XX W BROADWAY AVE,Kitsilano,488692.5318,5456795.8981
Other Theft,2026,1,8,13,0,23XX CAMBIE ST,Fairview,491637.1823,5456824.7247
Other Theft,2026,2,8,20,57,23XX CAMBIE ST,Fairview,491637.1823,5456824.7247
Other Theft,2026,1,14,14,43,23XX CAMBIE ST,Fairview,491637.2119,5456826.5706
Other Theft,2026,1,15,20,18,23XX CAMBIE ST,Fairview,491637.2119,5456826.5706
Other Theft,2026,1,18,20,45,23XX CAMBIE ST,Fairview,491637.2119,5456826.5706
Other Theft,2026,1,31,12,49,23XX CAMBIE ST,Fairview,491637.2119,5456826.5706
Other Theft,2026,2,5,15,52,23XX CAMBIE ST,Fairview,491637.2119,5456826.5706
Other Theft,2026,2,10,11,25,23XX CAMBIE ST,Fairview,491637.2119,5456826.5706
Other Theft,2026,1,11,14,30,27XX W BROADWAY AVE,Kitsilano,487845.5455,5456828.7896
Other Theft,2026,1,11,16,30,27XX W BROADWAY AVE,Kitsilano,487845.5455,5456828.7896
Other Theft,2026,2,11,18,24,27XX W BROADWAY AVE,Kitsilano,487845.5455,5456828.7896
Other Theft,2026,1,10,19,20,27XX W BROADWAY AVE,Kitsilano,487846.3908,5456828.7646
Other Theft,2026,1,15,8,50,27XX W BROADWAY AVE,Kitsilano,487846.3908,5456828.7646
Other Theft,2026,1,27,12,46,27XX W BROADWAY AVE,Kitsilano,487846.3908,5456828.7646
Other Theft,2026,2,8,18,15,27XX W BROADWAY AVE,Kitsilano,487846.3908,5456828.7646
Other Theft,2026,1,24,17,0,28XX BENTALL ST,Renfrew-Collingwood,497676.1461,5456239.0146
Other Theft,2026,2,2,12,0,28XX BENTALL ST,Renfrew-Collingwood,497676.1461,5456239.0146
Other Theft,2026,1,3,15,30,23XX CAMBIE ST,Mount Pleasant,491655.4669,5456828.535
Other Theft,2026,1,4,13,43,23XX CAMBIE ST,Mount Pleasant,491655.4669,5456828.535
Other Theft,2026,1,9,13,6,23XX CAMBIE ST,Mount Pleasant,491655.4669,5456828.535
Other Theft,2026,1,12,20,17,23XX CAMBIE ST,Mount Pleasant,491655.4669,5456828.535
Other Theft,2026,1,12,20,55,23XX CAMBIE ST,Mount Pleasant,491655.4669,5456828.535
Other Theft,2026,1,18,18,35,23XX CAMBIE ST,Mount Pleasant,491655.4669,5456828.535
Other Theft,2026,1,20,11,25,23XX CAMBIE ST,Mount Pleasant,491655.4669,5456828.535
Other Theft,2026,1,26,9,15,23XX CAMBIE ST,Mount Pleasant,491655.4669,5456828.535
Other Theft,2026,1,27,7,21,23XX CAMBIE ST,Mount Pleasant,491655.4669,5456828.535
Other Theft,2026,1,31,10,7,23XX CAMBIE ST,Mount Pleasant,491655.4669,5456828.535
Other Theft,2026,2,3,10,2,23XX CAMBIE ST,Mount Pleasant,491655.4669,5456828.535
Other Theft,2026,2,5,20,2,23XX CAMBIE ST,Mount Pleasant,491655.4669,5456828.535
Other Theft,2026,2,6,14,32,23XX CAMBIE ST,Mount Pleasant,491655.4669,5456828.535
Other Theft,2026,2,7,18,49,23XX CAMBIE ST,Mount Pleasant,491655.4669,5456828.535
Other Theft,2026,2,8,11,0,23XX CAMBIE ST,Mount Pleasant,491655.4669,5456828.535
Other Theft,2026,2,8,17,34,23XX CAMBIE ST,Mount Pleasant,491655.4669,5456828.535
Other Theft,2026,1,1,15,27,23XX CAMBIE ST,Mount Pleasant,491656.4223,5456901.5522
Other Theft,2026,1,7,17,39,23XX CAMBIE ST,Mount Pleasant,491656.4223,5456901.5522
Other Theft,2026,1,7,21,18,23XX CAMBIE ST,Mount Pleasant,491656.4223,5456901.5522
Other Theft,2026,1,8,17,10,23XX CAMBIE ST,Mount Pleasant,491656.4223,5456901.5522
Other Theft,2026,1,10,8,23,23XX CAMBIE ST,Mount Pleasant,491656.4223,5456901.5522
Other Theft,2026,1,12,20,26,23XX CAMBIE ST,Mount Pleasant,491656.4223,5456901.5522
Other Theft,2026,1,13,17,50,23XX CAMBIE ST,Mount Pleasant,491656.4223,5456901.5522
Other Theft,2026,1,13,20,16,23XX CAMBIE ST,Mount Pleasant,491656.4223,5456901.5522
Other Theft,2026,1,19,16,25,23XX CAMBIE ST,Mount Pleasant,491656.4223,5456901.5522
Other Theft,2026,1,25,9,3,23XX CAMBIE ST,Mount Pleasant,491656.4223,5456901.5522
Other Theft,2026,2,1,13,49,23XX CAMBIE ST,Mount Pleasant,491656.4223,5456901.5522
Other Theft,2026,2,5,19,33,23XX CAMBIE ST,Mount Pleasant,491656.4223,5456901.5522
Other Theft,2026,2,7,14,13,23XX CAMBIE ST,Mount Pleasant,491656.4223,5456901.5522
Other Theft,2026,2,9,19,30,23XX CAMBIE ST,Mount Pleasant,491656.4223,5456901.5522
Other Theft,2026,2,11,20,1,23XX CAMBIE ST,Mount Pleasant,491656.4223,5456901.5522
Other Theft,2026,2,1,20,45,28XX GRANVILLE ST,Fairview,489910.8026,5456363.5816
Other Theft,2026,1,4,17,50,28XX W 37TH AVE,Arbutus Ridge,487660.3845,5453990.7483
Other Theft,2026,1,31,15,0,29XX FIR ST,Fairview,489721.0046,5456287.8856
Other Theft,2026,1,11,11,45,29XX GRANVILLE ST,Fairview,489901.3039,5456253.6013
Other Theft,2026,1,28,11,42,2XX BURRARD ST,Central Business District,491602.6577,5459485.0197
Other Theft,2026,1,2,23,0,2XX CARRALL ST,Central Business District,492424.2023,5458954.0765
Other Theft,2026,1,3,8,45,2XX CENTRAL ST,Strathcona,492757.9072,5457632.8168
Other Theft,2026,1,9,23,0,2XX DUNLEVY AVE,Strathcona,493061.6216,5458905.949
Other Theft,2026,1,13,8,14,2XX DUNLEVY AVE,Strathcona,493061.6216,5458905.949
Other Theft,2026,1,20,7,35,2XX DUNLEVY AVE,Strathcona,493061.6216,5458905.949
Other Theft,2026,1,13,15,0,2XX E 12TH AVE,Mount Pleasant,492779.2531,5456391.9641
Other Theft,2026,1,30,6,24,2XX E 56TH AVE,Sunset,492645.1541,5451833.9606
Other Theft,2026,1,28,6,20,2XX E 6TH AVE,Mount Pleasant,492739.4629,5456969.2808
Other Theft,2026,2,5,10,45,2XX E BROADWAY AVE,Mount Pleasant,492729.325,5456680.0417
Other Theft,2026,1,20,15,0,2XX E HASTINGS ST,Strathcona,492817.334,5458740.2648
Other Theft,2026,1,25,15,40,2XX E PENDER ST,Strathcona,492919.5891,5458629.3728
Other Theft,2026,1,5,13,0,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Other Theft,2026,2,6,12,54,27XX E 54TH AVE,Victoria-Fraserview,496161.3176,5451930.9684
Other Theft,2026,1,6,22,23,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,7,20,46,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,8,17,20,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,8,19,31,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,9,16,20,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,9,16,47,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,10,19,57,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,10,20,1,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,10,22,18,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,12,9,3,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,12,16,56,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,13,17,41,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,14,10,15,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,14,10,42,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,15,14,33,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,18,17,42,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,18,21,0,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,19,15,28,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,25,17,5,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,28,18,20,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,29,19,53,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,30,14,55,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,31,18,1,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,31,19,15,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,31,21,12,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,2,4,8,2,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,2,8,18,17,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.9678
Other Theft,2026,1,6,9,56,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,1,6,23,10,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,1,7,8,45,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,1,8,16,33,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,1,9,18,59,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,1,9,20,6,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,1,9,22,2,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,1,10,17,25,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,1,10,19,41,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,1,10,20,1,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,1,13,19,57,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,1,14,23,22,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,1,25,20,32,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,1,27,9,23,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,1,27,18,22,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,1,28,18,24,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,1,28,19,32,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,2,2,21,37,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,2,2,21,39,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,2,3,17,49,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,2,4,14,4,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,2,4,22,10,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,2,5,15,36,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,2,6,18,7,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,2,7,9,0,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,2,7,19,7,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,2,7,20,31,27XX E HASTINGS ST,Hastings-Sunrise,496507.3157,5458707.9676
Other Theft,2026,1,7,10,55,27XX HORLEY ST,Renfrew-Collingwood,496466.3267,5454180.2927
Other Theft,2026,2,8,11,32,27XX HORLEY ST,Renfrew-Collingwood,496540.5447,5454145.3364
Other Theft,2026,1,17,14,0,27XX LAUREL ST,Fairview,490868.8121,5456452.1842
Other Theft,2026,1,7,20,35,27XX SOPHIA ST,Mount Pleasant,492843.1683,5456409.6615
Other Theft,2026,1,19,9,20,2XX W PENDER ST,Central Business District,491958.8371,5458790.5821
Other Theft,2026,1,29,13,14,2XX W PENDER ST,Central Business District,491958.8371,5458790.5821
Other Theft,2026,2,4,9,0,2XX W PENDER ST,Central Business District,491958.8371,5458790.5821
Other Theft,2026,2,12,9,8,2XX W PENDER ST,Central Business District,491958.8371,5458790.5821
Other Theft,2026,1,14,15,0,2XX W PENDER ST,Central Business District,491958.8633,5458790.5566
Other Theft,2026,1,15,9,15,2XX W PENDER ST,Central Business District,491958.8633,5458790.5566
Other Theft,2026,1,7,21,39,30XX E 2ND AVE,Hastings-Sunrise,497096.1821,5457306.63
Other Theft,2026,2,1,15,5,30XX GRANDVIEW HWY,Renfrew-Collingwood,496985.9589,5456158.8457
Other Theft,2026,1,8,20,39,29XX MAIN ST,Mount Pleasant,492637.6703,5456237.819
Other Theft,2026,1,18,18,32,29XX MAIN ST,Mount Pleasant,492637.6715,5456237.8605
Other Theft,2026,1,6,2,15,29XX W BROADWAY AVE,Kitsilano,487591.0884,5456834.5947
Other Theft,2026,1,14,0,0,2X E CORDOVA ST,Central Business District,492453.0836,5458847.036
Other Theft,2026,1,14,15,50,2X E CORDOVA ST,Central Business District,492453.0836,5458847.036
Other Theft,2026,1,29,7,48,2X W 2ND AVE,Mount Pleasant,492339.5554,5457389.105
Other Theft,2026,2,10,21,9,2X W HASTINGS ST,Central Business District,492353.4006,5458773.3991
Other Theft,2026,1,25,5,0,2X W HASTINGS ST,Central Business District,492357.3899,5458772.2719
Other Theft,2026,1,31,17,0,2X W HASTINGS ST,Central Business District,492357.3899,5458772.2719
Other Theft,2026,1,12,15,13,2X W HASTINGS ST,Central Business District,492362.3985,5458761.3541
Other Theft,2026,2,10,10,37,2X W HASTINGS ST,Central Business District,492367.1438,5458760.0134
Other Theft,2026,1,30,11,23,2XX ABBOTT ST,Central Business District,492247.7138,5458988.2993
Other Theft,2026,1,6,13,0,28XX BENTALL ST,Renfrew-Collingwood,497676.2065,5456229.2665
Other Theft,2026,1,12,19,30,28XX BENTALL ST,Renfrew-Collingwood,497676.2065,5456229.2665
Other Theft,2026,1,21,17,30,28XX BENTALL ST,Renfrew-Collingwood,497676.2065,5456229.2665
Other Theft,2026,2,10,21,56,28XX BENTALL ST,Renfrew-Collingwood,497676.2065,5456229.2665
Other Theft,2026,2,9,16,21,28XX BENTALL ST,Renfrew-Collingwood,497676.2134,5456227.9222
Other Theft,2026,1,5,13,23,28XX BENTALL ST,Renfrew-Collingwood,497676.5083,5456180.5258
Other Theft,2026,1,5,16,58,28XX BENTALL ST,Renfrew-Collingwood,497676.5083,5456180.5258
Other Theft,2026,1,15,16,26,28XX BENTALL ST,Renfrew-Collingwood,497676.5083,5456180.5258
Other Theft,2026,1,26,19,25,28XX BENTALL ST,Renfrew-Collingwood,497676.5083,5456180.5258
Other Theft,2026,2,7,18,28,28XX BENTALL ST,Renfrew-Collingwood,497676.5083,5456180.5258
Other Theft,2026,2,4,18,29,28XX BENTALL ST,Renfrew-Collingwood,497676.5279,5456177.0145
Other Theft,2026,2,12,20,29,28XX BENTALL ST,Renfrew-Collingwood,497676.5279,5456177.0145
Other Theft,2026,1,10,21,28,28XX CAMBIE ST,Mount Pleasant,491642.5942,5456400.1955
Other Theft,2026,1,29,22,0,28XX CAMBIE ST,Mount Pleasant,491642.5942,5456400.1955
Other Theft,2026,1,15,17,37,28XX E 44TH AVE,Killarney,496551.9411,5453046.4463
Other Theft,2026,1,20,22,48,28XX E HASTINGS ST,Hastings-Sunrise,496773.8148,5458707.6397
Other Theft,2026,1,30,18,34,28XX E HASTINGS ST,Hastings-Sunrise,496777.0101,5458707.64
Other Theft,2026,1,31,15,0,28XX GRANDVIEW HWY,Renfrew-Collingwood,496754.8094,5456155.1199
Other Theft,2026,1,16,14,58,28XX GRANVILLE ST,Fairview,489902.734,5456410.3814
Other Theft,2026,2,8,11,26,2XX KEEFER ST,Strathcona,492758.71,5458525.1129
Other Theft,2026,1,6,8,30,2XX PRINCESS AVE,Strathcona,493356.5076,5458900.9652
Other Theft,2026,1,18,1,0,2XX PRINCESS AVE,Strathcona,493356.5277,5458903.1068
Other Theft,2026,1,13,13,34,2XX SW MARINE DR,Marpole,491981.5471,5451033.1928
Other Theft,2026,1,13,3,15,2XX W 70TH AVE,Marpole,491938.834,5450653.8583
Other Theft,2026,1,3,23,0,30XX KINGS AVE,Renfrew-Collingwood,497012.7236,5454444.5882
Other Theft,2026,1,18,3,50,30XX KINGSWAY AVE,Renfrew-Collingwood,497080.8388,5453655.1258
Other Theft,2026,1,23,15,44,30XX PRINCE EDWARD ST,Mount Pleasant,492987.4896,5456100.734
Other Theft,2026,1,22,17,30,30XX W BROADWAY AVE,Kitsilano,487350.9094,5456842.2677
Other Theft,2026,1,6,18,0,30XX W BROADWAY AVE,Kitsilano,487431.0636,5456840.0147
Other Theft,2026,1,31,10,50,31XX ASH ST,Fairview,491400.9846,5456069.8213
Other Theft,2026,2,6,8,35,31XX E 20TH AVE,Renfrew-Collingwood,497160.3463,5455503.4398
Other Theft,2026,1,31,0,0,31XX E 20TH AVE,Renfrew-Collingwood,497226.9654,5455512.3854
Other Theft,2026,1,1,11,13,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,1,16,11,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,7,21,53,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,8,18,50,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,9,20,26,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,9,22,40,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,10,16,29,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,12,15,30,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,15,20,16,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,16,11,44,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,16,14,45,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,16,20,4,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,17,18,4,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,18,18,20,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,20,22,44,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,22,14,55,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,22,16,54,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,22,18,6,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,23,17,20,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,23,18,30,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,24,19,10,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,25,7,10,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,27,15,40,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,28,19,12,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,28,20,25,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,30,11,19,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,30,16,48,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,31,8,16,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,31,15,51,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,31,16,12,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,2,4,22,45,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,2,6,7,0,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,2,6,21,57,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,2,7,16,0,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,2,7,17,19,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,2,8,17,12,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,2,9,9,22,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,2,12,19,12,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,2,12,19,48,31XX GRANDVIEW HWY,Renfrew-Collingwood,497311.413,5456155.9402
Other Theft,2026,1,13,16,45,31XX QUEBEC ST,Mount Pleasant,492483.6719,5456007.2462
Other Theft,2026,1,15,13,40,32XX W 6TH AVE,Kitsilano,487128.8155,5457123.6938
Other Theft,2026,1,8,13,0,33XX COMMERCIAL DR,Kensington-Cedar Cottage,494987.0742,5455792.7004
Other Theft,2026,1,13,17,19,33XX DUNBAR ST,Dunbar-Southlands,486524.6571,5456060.3214
Other Theft,2026,2,9,12,59,33XX E 5TH AVE,Hastings-Sunrise,497552.5297,5456984.1661
Other Theft,2026,1,29,18,36,33XX KINGSWAY AVE,Renfrew-Collingwood,497467.7486,5453414.9271
Other Theft,2026,1,5,18,0,33XX KINGSWAY AVE,Renfrew-Collingwood,497470.3389,5453412.8775
Other Theft,2026,1,12,14,30,33XX KINGSWAY AVE,Renfrew-Collingwood,497470.3389,5453412.8775
Other Theft,2026,1,20,18,39,33XX KINGSWAY AVE,Renfrew-Collingwood,497470.3389,5453412.8775
Other Theft,2026,1,29,18,18,33XX MAIN ST,Riley Park,492626.6892,5455879.2213
Other Theft,2026,1,14,4,30,33XX W 12TH AVE,Kitsilano,487049.3308,5456549.4468
Other Theft,2026,1,9,15,11,33XX WELLINGTON AVE,Renfrew-Collingwood,497583.0275,5454286.8627
Other Theft,2026,1,26,17,20,34XX CROWLEY DR,Renfrew-Collingwood,497691.5503,5453819.1958
Other Theft,2026,1,23,14,23,34XX DUNBAR ST,Dunbar-Southlands,486523.9205,5455930.7993
Other Theft,2026,1,26,13,41,34XX DUNBAR ST,Dunbar-Southlands,486523.9218,5455930.9234
Other Theft,2026,1,30,12,0,34XX E 26TH AVE,Renfrew-Collingwood,497761.2376,5454917.9571
Other Theft,2026,1,4,20,49,32XX CAMBIE ST,South Cambie,491620.0627,5455935.9892
Other Theft,2026,2,11,4,10,32XX DUMFRIES ST,Kensington-Cedar Cottage,494701.8456,5455874.6655
Other Theft,2026,1,25,10,0,32XX MAIN ST,Riley Park,492636.9641,5455944.6563
Other Theft,2026,2,12,23,32,32XX PIERVIEW CRES,Killarney,497204.6576,5450421.0787
Other Theft,2026,1,10,17,4,34XX KINGSWAY AVE,Renfrew-Collingwood,497691.2415,5453254.8617
Other Theft,2026,2,5,9,50,34XX KINGSWAY AVE,Renfrew-Collingwood,497691.2415,5453254.8617
